system:index,NDVI,VH,VV,soil_moisture,.geo
137,0.20441452527094384,-14.277737096723344,-6.641119468440208,8.111350059509277,"{""type"":""Point"",""coordinates"":[73.3159778364856,19.803648325819204]}"
138,0.3151017400914469,-17.29861608841406,-8.938432952528343,6.651266098022461,"{""type"":""Point"",""coordinates"":[77.22248448260306,17.79141653018245]}"
139,0.20238087320852594,-17.802354727904984,-10.19873773088983,7.550168991088867,"{""type"":""Point"",""coordinates"":[76.07132519268286,19.910668438915714]}"
140,0.3298814097210623,-13.668518203375745,-7.0422196662376155,8.330795288085938,"{""type"":""Point"",""coordinates"":[73.36252862755103,17.426683293353513]}"
141,0.20288781148773102,-16.925587206439204,-9.213818939961643,7.043359279632568,"{""type"":""Point"",""coordinates"":[77.34757960558467,18.349975905861243]}"
142,0.24402676011468621,-16.617619762671236,-9.668913947681144,6.404990196228027,"{""type"":""Point"",""coordinates"":[73.21956722392946,21.23214517534252]}"
143,0.17776335712740646,-17.513132962749726,-10.405579140101956,6.545327186584473,"{""type"":""Point"",""coordinates"":[75.8693830012466,17.43790754679394]}"
144,0.27832460732984293,-17.241321941748907,-9.8476062070449,4.7461652755737305,"{""type"":""Point"",""coordinates"":[73.86566234478805,17.357373012629015]}"
145,0.173251130530877,-17.78618965294937,-9.599954992480674,6.17173957824707,"{""type"":""Point"",""coordinates"":[74.9751181135029,18.689810979166012]}"
146,0.2716318868418755,-17.20950698223949,-8.885535514448271,7.2413716316223145,"{""type"":""Point"",""coordinates"":[77.86009799398532,19.573922279912424]}"
147,0.2611045637420246,-16.39914636698214,-8.67974761379258,6.016751289367676,"{""type"":""Point"",""coordinates"":[75.51272878592665,21.474483843460987]}"
148,0.24086718274332436,-18.055493365112834,-10.030985895264784,7.372894287109375,"{""type"":""Point"",""coordinates"":[76.13201877323013,19.788868122114764]}"
149,0.13439104509242936,-17.667196041199375,-9.88960941748801,6.379655361175537,"{""type"":""Point"",""coordinates"":[75.94864844216298,18.836861709133736]}"
150,0.18468011025678227,-17.85522054806523,-9.547630959883028,6.485377788543701,"{""type"":""Point"",""coordinates"":[75.1214325572903,18.85765287256871]}"
151,0.17893377786037368,-17.19840366490151,-9.560607413299353,6.538106918334961,"{""type"":""Point"",""coordinates"":[76.90256918640023,18.47027494998323]}"
